Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,2.0,0.0,0.0,1111.0,20.0,54.0,3785.0,0.1,43.00999999999998,0.0,0.0,597.8657047748566,,,,,,,,,,,,,,,,,,,,,18.06372085489965,14.11035861982009,42.11875446400897,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,234.0,1.0,234.0,4019.0,0.1,226.00700000000003,0.0,0.0,971.7343411445618,,,,,,,,,,,,,,,,,,,,,102.70893484462331,60.457150580989705,202.37766219308241,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,418.0,2.0,184.0,4203.0,0.1,175.00800000000004,0.0,0.0,987.9827814102173,,,,,,,,,,,,,,,,,,,,,79.9234597566986,48.62213622481024,160.62316911983817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,469.0,3.0,51.0,4254.0,0.1,42.00799999999998,0.0,0.0,992.8363795280457,,,,,,,,,,,,,,,,,,,,,18.2796460683757,13.628776407648084,41.15801291833659,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,524.0,4.0,55.0,4309.0,0.1,46.00799999999998,0.0,0.0,998.2830181121826,,,,,,,,,,,,,,,,,,,,,20.187247754850663,14.784296511565573,44.98763164914987,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,580.0,5.0,56.0,4365.0,0.1,38.01699999999996,0.0,0.0,1003.5452768802643,,,,,,,,,,,,,,,,,,,,,13.750136713123586,12.903738458486272,37.32159821890467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,718.0,6.0,138.0,4503.0,0.1,131.00600000000003,0.0,0.0,1016.0128374099731,,,,,,,,,,,,,,,,,,,,,60.917372823319475,37.231307309276765,122.84496964470175,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,755.0,7.0,37.0,4540.0,0.1,26.010000000000012,0.0,0.0,1019.6010732650757,,,,,,,,,,,,,,,,,,,,,10.109845136061342,8.957754194000255,25.687284611904936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,803.0,8.0,48.0,4588.0,0.1,38.00899999999998,0.0,0.0,1024.1561288833618,,,,,,,,,,,,,,,,,,,,,16.033298147062826,12.55075091070487,37.313992359667964,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,837.0,9.0,34.0,4622.0,0.1,26.00700000000001,0.0,0.0,1027.7661521434784,,,,,,,,,,,,,,,,,,,,,10.998768816336705,8.804071879195629,25.684384945751116,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
